addr_val,addr_name,did_core_name0,did_core_name1,did_core_name2,did_suffix_name,append_add_num,offset_to_local,is_it_used,addr_type,1mi_x_val,1mi_rtv_val,1mi_avg_val,1mi_sdv_val,5mi_x_val,5mi_rtv_val,5mi_avg_val,5mi_sdv_val,15mi_sdv_val,15mi_avg_val,15mi_x_val
98,30米风向五分钟平均值,30m,测风塔1,风向平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#168#2#1#0
100,30米风向五分钟标准差,30m,测风塔1,风向标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
102,30米风向五分钟最大值,30m,测风塔1,风向最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
104,30米风向五分钟最小值,30m,测风塔1,风向最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
106,30米风向五分钟极大值,30m,测风塔1,,,1,0,0,3,,,,,,,,,,,
108,30米风向五分钟极小值,30m,测风塔1,,,1,0,0,3,,,,,,,,,,,
110,50米风向五分钟平均值,50m,测风塔1,风向平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#168#2#1#0
112,50米风向五分钟标准差,50m,测风塔1,风向标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
114,50米风向五分钟最大值,50m,测风塔1,风向最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
116,50米风向五分钟最小值,50m,测风塔1,风向最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
118,50米风向五分钟极大值,50m,测风塔1,,,1,0,0,3,,,,,,,,,,,
120,50米风向五分钟极小值,50m,测风塔1,,,1,0,0,3,,,,,,,,,,,
122,70米风向五分钟平均值,70m,测风塔1,风向平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#168#2#1#0
124,70米风向五分钟标准差,70m,测风塔1,风向标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
126,70米风向五分钟最大值,70m,测风塔1,风向最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
128,70米风向五分钟最小值,70m,测风塔1,风向最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
130,70米风向五分钟极大值,70m,测风塔1,,,1,0,0,3,,,,,,,,,,,
132,70米风向五分钟极小值,70m,测风塔1,,,1,0,0,3,,,,,,,,,,,
134,100米风向五分钟平均值,100m,测风塔1,风向平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#168#2#1#0
136,100米风向五分钟标准差,100m,测风塔1,风向标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
138,100米风向五分钟最大值,100m,测风塔1,风向最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
140,100米风向五分钟最小值,100m,测风塔1,风向最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
142,100米风向五分钟极大值,100m,测风塔1,,,1,0,0,3,,,,,,,,,,,
144,100米风向五分钟极小值,100m,测风塔1,,,1,0,0,3,,,,,,,,,,,
146,10米气温五分钟平均值,10m,测风塔1,温度平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
148,10米气温五分钟标准差,10m,测风塔1,温度标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
150,10米气温五分钟最大值,10m,测风塔1,温度最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
152,10米气温五分钟最小值,10m,测风塔1,温度最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
154,10米气温五分钟极大值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
156,10米气温五分钟极小值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
158,10米湿度五分钟平均值,10m,测风塔1,湿度平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
160,10米湿度五分钟标准差,10m,测风塔1,湿度标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
162,10米湿度五分钟最大值,10m,测风塔1,湿度最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
164,10米湿度五分钟最小值,10m,测风塔1,湿度最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
166,10米湿度五分钟极大值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
168,10米湿度五分钟极小值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
170,10米气压五分钟平均值,10m,测风塔1,气压平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
172,10米气压五分钟标准差,10m,测风塔1,气压标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
174,10米气压五分钟最大值,10m,测风塔1,气压最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
176,10米气压五分钟最小值,10m,测风塔1,气压最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
178,10米气压五分钟极大值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
180,10米气压五分钟极小值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
