addr_val,addr_name,did_core_name0,did_core_name1,did_core_name2,did_suffix_name,append_add_num,offset_to_local,is_it_used,addr_type,1mi_x_val,1mi_rtv_val,1mi_avg_val,1mi_sdv_val,5mi_x_val,5mi_rtv_val,5mi_avg_val,5mi_sdv_val,15mi_sdv_val,15mi_avg_val,15mi_x_val
76,7号风机风速,风机,7,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
78,7号风机风向,风机,7,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
80,7号风机发电机转速,风机,7,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
82,7号风机风机状态,风机,7,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
84,8号风机有功功率,风机,8,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
86,8号风机无功功率,风机,8,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
88,8号风机风速,风机,8,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
90,8号风机风向,风机,8,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
92,8号风机发电机转速,风机,8,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
94,8号风机风机状态,风机,8,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
96,9号风机有功功率,风机,9,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
98,9号风机无功功率,风机,9,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
100,9号风机风速,风机,9,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
102,9号风机风向,风机,9,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
104,9号风机发电机转速,风机,9,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
106,9号风机风机状态,风机,9,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
108,10号风机有功功率,风机,10,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
110,10号风机无功功率,风机,10,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
112,10号风机风速,风机,10,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
114,10号风机风向,风机,10,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
116,10号风机发电机转速,风机,10,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
118,10号风机风机状态,风机,10,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
120,11号风机有功功率,风机,11,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
122,11号风机无功功率,风机,11,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
124,11号风机风速,风机,11,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
126,11号风机风向,风机,11,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
128,11号风机发电机转速,风机,11,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
130,11号风机风机状态,风机,11,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
132,12号风机有功功率,风机,12,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
134,12号风机无功功率,风机,12,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
136,12号风机风速,风机,12,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
138,12号风机风向,风机,12,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
140,12号风机发电机转速,风机,12,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
142,12号风机风机状态,风机,12,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
144,13号风机有功功率,风机,13,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
146,13号风机无功功率,风机,13,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
148,13号风机风速,风机,13,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
150,13号风机风向,风机,13,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
152,13号风机发电机转速,风机,13,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
